"game_id","play_id","play_out","reached_base_on_error","error","fielding_chance","launch_angle","exit_velocity","fielder_angle","fielder_distance","fielder_burst_distance","fielder_reaction_distance","fielder_routing_distance","fielder_jump_distance","start_player_angle","end_player_angle","start_player_position","end_player_position","fielding_zone"
717179,"17996645-7e9d-40fa-bdca-2fe01492aa0d",1,0,0,1,-25.597094,90.593521,-131.068,18.24,12.379,3.127,3.424,11.906,-36.945,-36.942,132.524,132.523,Back
717179,"213f2fa4-a566-40ab-9fbc-daeb9fc80f2d",2,0,0,1,-15.819751,78.084128,135.066,58.759,26.435,7.088,1.792,31.271,-34.277,-34.259,108.815,108.801,Standard Back
717179,"4b32275d-b608-449e-aa80-4f5e468ff263",1,0,0,1,-14.555188,97.876350,,6.198,9.496,2.191,2.206,9.348,-34.685,-34.692,121.821,121.79,Standard Back
717179,"4c7088d4-7f8e-4f9a-b829-1807e6d32ccc",2,0,0,1,-4.060342,102.033881,-31.363,51.528,19.916,7.95,1.387,26.045,-34.68,-34.706,121.618,121.58,Standard Back
717179,"5e2cfe93-a0b3-422f-8247-3b83f301106e",1,0,0,1,3.354306,41.104402,-11.242,70.17,24.328,7.182,1.331,29.752,-27.267,-27.662,113.729,113.133,Standard Back
717179,"8edb7f12-0b80-4ecd-93ff-1ff9e3416c8c",0,0,1,1,,,15.322,26.006,,,,,,,,,
717179,b8c18a0f-4514-402c-a722-0ee3525118bc,1,0,0,1,-8.362124,89.873971,-12.284,16.852,11.73,7.745,2.894,16.115,-36.495,-36.468,132.693,132.718,Back
717179,d01ce028-9ab4-4738-85b2-cff73366946f,1,0,0,1,68.865269,88.098835,,,2.082,0.905,1.613,1.363,-36.589,-40.541,132.302,138.122,Back
717179,dbbbba85-3af7-41c2-8958-f0b0aa665bd5,1,0,0,1,-11.182198,52.660833,39.524,23.502,17.02,5.508,1.774,20.369,-21.943,-21.929,130.269,130.253,Back
717179,fd4198db-44f2-4665-9520-203970d5c59f,1,0,0,1,-32.705682,84.560716,60.946,69.684,22.857,7.209,1.001,28.597,-36.703,-36.702,130.953,130.948,Back
